Ref,Val,Package,PosX,PosY,Rot,Side
"R67","10K","R_0603_1608Metric",129.1670,-95.6095,180.0000,top
"SW1","BOOT","SW_SPST_B3U-1000P",133.5480,-97.5780,270.0000,top
"SW2","MCLR Reset","SW_SPST_B3U-1000P",133.6120,-77.7660,90.0000,top
"SW3","USB_C - Generic","USB_C_Receptacle_XKB_U262-16XN-4BVC11",92.8400,-75.4800,270.0000,top
"U1","LDFM33PUR","DFN-6-1EP_3x3mm_P0.95mm_EP1.7x2.6mm",97.3500,-63.2600,180.0000,top
"U2","74HC126","TSSOP-14_4.4x5mm_P0.65mm",149.6775,-105.6420,0.0000,top
"U3","PIC24EP256GP204","TQFP-44_10x10mm_P0.8mm",148.0900,-87.7990,90.0000,top
"U4","DS1307Z+","SOIC-8_3.9x4.9mm_P1.27mm",158.5680,-105.6420,180.0000,top
"U5","TC7660","SOIC-8_3.9x4.9mm_P1.27mm",121.2540,-72.0510,180.0000,top
"U7","LM324","TSSOP-14_4.4x5mm_P0.65mm",158.3770,-72.1145,0.0000,top
"U8","TL082","SOIC-8_3.9x4.9mm_P1.27mm",177.5540,-95.3555,0.0000,top
"U9","TL082","SOIC-8_3.9x4.9mm_P1.27mm",177.5540,-84.8780,0.0000,top
"U10","TL082","SOIC-8_3.9x4.9mm_P1.27mm",135.7080,-105.5790,180.0000,top
"U11","TL082","SOIC-8_3.9x4.9mm_P1.27mm",177.6180,-74.4640,0.0000,top
"U12","MCP4728","MSOP-10_3x3mm_P0.5mm",150.2490,-73.0035,0.0000,top
"U13","MCP6S21","SOIC-8_3.9x4.9mm_P1.27mm",167.3940,-95.3555,0.0000,top
"U14","MCP6S21","SOIC-8_3.9x4.9mm_P1.27mm",167.3940,-84.8780,0.0000,top
"U15","CP2102N","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",106.2440,-75.4165,180.0000,top
"U16","SP0503BAHT","SOT-143",100.8460,-75.4546,270.0000,top
"U18","LTC4040","LTC4040",118.2450,-106.7220,90.0000,top
"U19","TC1240A","SOT-23-6",119.7300,-81.8935,90.0000,top
"X2","32.768 kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",164.1560,-106.3410,270.0000,top
"Y1","12 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",144.6610,-77.1945,90.0000,top
"Z8","QR Code","Website_QR",-148.0265,-87.8625,0.0000,bottom
